original_annotation,new_annotation
Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein"
"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)",Methylenetetrahydrofolate reductase (NAD(P)H) (EC 1.5.1.20)
LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD
tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD
16S rRNA processing protein RimM,Bacterial SSU rRNA processing protein RimM
Carbon storage regulator,RNA-binding protein CsrA
DNA gyrase subunit B (EC 5.99.1.3),DNA gyrase subunit B (EC 5.6.2.2)
Alkyl hydroperoxide reductase protein C (EC 1.11.1.15),NADH-dependent alkyl hydroperoxide reductase component AhpC (EC 1.11.1.26)
Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1),"Succinate dehydrogenase (quinone), iron-sulfur subunit (EC 1.3.5.1)"
Queuine tRNA-ribosyltransferase (EC 2.4.2.29),tRNA-guanosine(34) preQ1 transglycosylase (EC 2.4.2.29)
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8),Phosphoadenylyl-sulfate reductase (thioredoxin) (EC 1.8.4.8)
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1),Aspartate aminotransferase (EC 2.6.1.3)
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227)
D-alanine--D-alanine ligase (EC 6.3.2.4),D-alanine--D-alanine ligase (EC 6.3.2.4) ## cluster A
Cell division trigger factor (EC 5.2.1.8),Trigger factor (EC 5.2.1.8)
Rod shape-determining protein RodA,Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129)
Colicin V production protein,Protein CvpA required for colicin V production
Transcription termination protein NusB,Transcription antitermination protein NusB
Glucose-6-phosphate isomerase,Isomerase
Phage tail fiber protein,Phage structural protein
Alanine racemase,Racemase
NADH dehydrogenase subunit 1,Respiratory chain protein
DNA polymerase III subunit alpha,DNA polymerase
DNA ligase (NAD+) (EC 6.5.1.2),DNA-binding protein
Phage portal protein,Phage protein
DNA gyrase subunit A (EC 5.6.2.2),DNA topoisomerase
3-dehydroquinate synthase (EC 4.2.3.4),Biosynthetic enzyme
ATP synthase F0 sector subunit a (EC 7.1.2.2),Membrane protein
DNA mismatch repair protein MutS,DNA-binding protein
Glutamine synthetase (EC 6.3.1.2),Nitrogen metabolism enzyme
Type IV pilus assembly protein PilM,Pilus protein
Acyl-CoA dehydrogenase,Oxidoreductase
Adenylate kinase,Nucleotide kinase
CRISPR-associated endonuclease Cas9,Nuclease
Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Phage lytic enzyme
Flagellar motor switch protein FliG,Flagellar protein
Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129),Cell wall biosynthesis enzyme
Oxygen-dependent coproporphyrinogen-III oxidase (EC 1.3.3.3),Oxidase
Urease subunit alpha (EC 3.5.1.5),Hydrolase
Phage major capsid protein,Phage structural protein
DNA-directed RNA polymerase subunit beta,Transcription enzyme
Serine hydroxymethyltransferase (EC 2.1.2.1),Transferase
Dihydrofolate reductase (EC 1.5.1.3),Oxidoreductase
Ribosomal protein S12 methylthiotransferase (EC 2.8.4.4),Methyltransferase
Threonine synthase (EC 4.2.3.1),Lyase
Aspartate carbamoyltransferase (EC 2.1.3.2),Transferase
ATP-dependent protease La (EC 3.4.21.53),Protease
Hypothetical protein,DNA mismatch repair protein MutS
Oxidoreductase,NADH-quinone oxidoreductase subunit F
ABC transporter,Iron(III) ABC transporter ATP-binding protein
Membrane protein,Potassium uptake protein TrkH
DNA-binding protein,LexA repressor
Hypothetical protein,Phage tail fiber protein
Hypothetical protein,Outer membrane beta-barrel assembly protein BamD
Putative membrane protein,Magnesium transport protein CorA
Nuclease,CRISPR-associated endonuclease Cas9
PlyP35,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
gp9,Phage capsid and scaffold
gp8,Phage head-tail adaptor
gp10,Phage P35 gp10 protein homolog
Conserved protein of unknown function,3'-to-5' exoribonuclease (EC 3.1.13.1)
Putative enzyme,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
Putative transcription regulator,"Transcriptional regulator, MarR family"
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18)
Hydrolase,Beta-lactamase class C (EC 3.5.2.6)
Oxidoreductase,Cytochrome c oxidase subunit II (EC 1.9.3.1)
Iron transport protein,Ferric enterobactin receptor FepA
FIG01132609: hypothetical protein,Type IV secretion system protein VirB4
FIG01125089: hypothetical protein,Capsular polysaccharide biosynthesis protein WcaJ
FIG01128974: hypothetical protein,Phage capsid and scaffold
DUF1234 domain-containing protein,Membrane-bound lytic murein transglycosylase F
Putative signal transduction protein,Two-component system response regulator CheY
Putative endolysin,Phage lysozyme R (EC 3.2.1.17)
Putative class I holin,Phage holin
Putative tail assembly chaperone,Phage tail assembly chaperone
Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW,"Heme chaperone HemW, insertion of heme into hemoproteins"
Phage tail fiber,Phage tail fiber protein
Phage tail spike protein,Phage tail spike protein J
Phage tail fiber protein,Phage tail spike protein
30S ribosomal protein S1,50S ribosomal protein L1
DNA polymerase III subunit alpha,DNA polymerase III subunit beta
ATP synthase subunit a,ATP synthase subunit b
Cysteine desulfurase,Selenocysteine lyase
Phage minor capsid protein,Phage major capsid protein
Phage portal protein,Phage terminase
Type IV pilus assembly protein PilM,Type IV pilus assembly protein PilN
DNA gyrase subunit A,DNA gyrase subunit B
Phage integrase,Phage excisionase
DNA mismatch repair protein MutS,DNA mismatch repair protein MutL
Transcription termination factor Rho,Transcription termination protein NusA
Glutamate--cysteine ligase,Glutathione synthetase
NADH-quinone oxidoreductase subunit F,NADH-quinone oxidoreductase subunit G
Succinate dehydrogenase flavoprotein subunit,Succinate dehydrogenase iron-sulfur subunit
ATP synthase F0 sector subunit a,ATP synthase F0 sector subunit b
Phosphoenolpyruvate carboxykinase,Phosphoenolpyruvate carboxylase
DNA polymerase I,DNA polymerase III
TerL,Phage portal (connector) protein
YciL protein,YciI protein
Molybdenum ABC transporter ATP-binding protein ModC,Molybdenum ABC transporter permease protein ModB
Glutamine synthetase,Glutamine amidotransferase
Histidine biosynthesis protein HisF,Histidine biosynthesis protein HisH
Beta-lactamase,Beta-lactamase inhibitory protein
Flagellar biosynthesis protein FlhA,Flagellar motor switch protein FliG
Urease subunit alpha,Urease subunit beta
Phage tailspike protein,Phage tail fiber protein
Mannose-specific PTS system component IIA,Mannose-specific PTS system component IIB
Primosomal protein N',Primosomal protein DnaT
DNA ligase,RNA polymerase
Ribosomal protein L10,ATP synthase subunit alpha
Phage integrase,Phage tail fiber protein
Glyceraldehyde-3-phosphate dehydrogenase,Phosphofructokinase
Outer membrane protein A,DNA gyrase
PlyP35,DNA ligase
Cysteine desulfurase,Glutamate dehydrogenase
Alanine racemase,Glucose-6-phosphate isomerase
Beta-galactosidase,ATP synthase subunit alpha
Phage capsid protein,Bacterial flagellin
Type IV pilus assembly protein PilM,Ribosomal protein S12
DNA mismatch repair protein MutS,Formate dehydrogenase
Phage endolysin,CRISPR-associated protein Cas9
"Transcriptional regulator, LacI family",RNA polymerase sigma factor
Glutamate--cysteine ligase,Pyruvate kinase
D-alanine--D-alanine ligase,Iron-sulfur cluster assembly protein
Acetyl-CoA carboxylase,Malate synthase
Flagellar motor switch protein FliG,DNA topoisomerase I
Urease subunit alpha,DNA gyrase subunit B
RNA polymerase sigma factor,Glutamine synthetase
Hypothetical protein,Putative uncharacterized protein
Hypothetical protein,Predicted protein
Unknown protein,Hypothetical protein
Conserved hypothetical protein,Putative protein
Protein of unknown function,DUF1234 family protein
Uncharacterized protein,Hypothetical membrane protein
Putative uncharacterized protein,Conserved domain protein
Predicted membrane protein,Putative exported protein
DUF4154 domain-containing protein,Conserved hypothetical protein
Conserved domain protein,Protein of unknown function DUF1234
